	    E_cm = 20 MeV 	   l = 2
delta_l =	1.0479
0.1	0
0.2	1.02491e-05
0.3	5.26967e-05
0.4	0.000161721
0.5	0.000378254
0.6	0.000743406
0.7	0.00129184
0.8	0.00204551
0.9	0.00300865
1	0.00416444
1.1	0.00547414
1.2	0.00687857
1.3	0.00830203
1.4	0.00965826
1.5	0.0108579
1.6	0.0118166
1.7	0.0124628
1.8	0.0127453
1.9	0.0126377
2	0.0121418
2.1	0.011288
2.2	0.0101325
2.3	0.00875292
2.4	0.00724102
2.5	0.00569505
2.6	0.00421108
2.7	0.002875
2.8	0.00175566
2.9	0.000899983
3	0.00033038
3.1	4.46207e-05
3.2	1.81349e-05
3.3	0.000208298
3.4	0.000560124
3.5	0.00101264
3.6	0.00150514
3.7	0.00198275
3.8	0.00240049
3.9	0.0027259
4	0.00293981
4.1	0.00303567
4.2	0.00301775
4.3	0.00289855
4.4	0.00269608
4.5	0.00243122
4.6	0.00212547
4.7	0.00179931
4.8	0.001471
4.9	0.00115597
5	0.000866576
5.1	0.000612063
5.2	0.000398799
5.3	0.000230548
5.4	0.000108801
5.5	3.31129e-05
5.6	1.42366e-06
5.7	1.03595e-05
5.8	5.55098e-05
5.9	0.000131682
6	0.000233138
6.1	0.000353807
6.2	0.000487493
6.3	0.000628056
6.4	0.000769583
6.5	0.000906542
6.6	0.00103391
6.7	0.00114731
6.8	0.00124305
6.9	0.00131826
7	0.00137088
7.1	0.00139971
7.2	0.00140438
7.3	0.00138535
7.4	0.00134383
7.5	0.00128171
7.6	0.00120147
7.7	0.0011061
7.8	0.000998941
7.9	0.000883593
8	0.000763774
8.1	0.000643201
8.2	0.000525466
8.3	0.000413928
8.4	0.000311606
8.5	0.000221102
8.6	0.000144525
8.7	8.34431e-05
8.8	3.8854e-05
8.9	1.11719e-05
9	2.36655e-07
9.1	5.34074e-06
9.2	2.52735e-05
9.3	5.83805e-05
9.4	0.000102635
9.5	0.000155722
9.6	0.000215123
9.7	0.000278211
9.8	0.000342346
9.9	0.000404958
10	0.000463639
10.1	0.000516217
10.2	0.000560819
10.3	0.000595928
10.4	0.000620421
10.5	0.000633593
10.6	0.000635171
10.7	0.0006253
10.8	0.000604533
10.9	0.000573789
11	0.000534315
11.1	0.000487627
11.2	0.000435452
11.3	0.000379655
11.4	0.000322172
11.5	0.000264941
11.6	0.000209829
11.7	0.000158572
11.8	0.000112717
11.9	7.35713e-05
12	4.2166e-05
12.1	1.92262e-05
12.2	5.15485e-06
12.3	2.87912e-08
12.4	3.60522e-06
12.5	1.53401e-05
12.6	3.44165e-05
12.7	5.97817e-05
12.8	9.01918e-05
12.9	0.000124261
13	0.000160518
13.1	0.000197456
13.2	0.000233594
13.3	0.000267524
13.4	0.000297961
13.5	0.000323788
13.6	0.000344088
13.7	0.000358175
13.8	0.000365607
13.9	0.000366203
14	0.000360033
14.1	0.000347417
14.2	0.000328902
14.3	0.000305236
14.4	0.000277337
14.5	0.000246256
14.6	0.000213132
14.7	0.000179151
14.8	0.000145502
14.9	0.00011333
15	8.36988e-05
15.1	5.75537e-05
15.2	3.5689e-05
15.3	1.87234e-05
15.4	7.08168e-06
15.5	9.8389e-07
15.6	4.42452e-07
15.7	5.26673e-06
15.8	1.50749e-05
15.9	2.93127e-05
16	4.72777e-05
16.1	6.81486e-05
16.2	9.10183e-05
16.3	0.000114929
16.4	0.000138909
16.5	0.000162007
16.6	0.000183331
16.7	0.000202072
16.8	0.00021754
16.9	0.000229183
17	0.000236601
17.1	0.000239563
17.2	0.00023801
17.3	0.000232049
17.4	0.000221952
17.5	0.000208136
17.6	0.00019115
17.7	0.000171648
17.8	0.000150363
17.9	0.00012808
18	0.000105603
18.1	8.37288e-05
18.2	6.32133e-05
18.3	4.47474e-05
18.4	2.89315e-05
18.5	1.62555e-05
18.6	7.08279e-06
18.7	1.63967e-06
18.8	9.54985e-09
18.9	2.13288e-06
19	7.81232e-06
19.1	1.67228e-05
19.2	2.84263e-05
19.3	4.23903e-05
19.4	5.80094e-05
19.5	7.46295e-05
19.6	9.15727e-05
19.7	0.000108164
19.8	0.000123754
19.9	0.000137745
20	0.000149612
20.1	0.7418
